Geography,Geographic Area Name,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0500000US33011,"Hillsborough County, New Hampshire",407500,9474
0500000US33013,"Merrimack County, New Hampshire",360200,8369
0500000US33015,"Rockingham County, New Hampshire",483700,14982
0500000US33017,"Strafford County, New Hampshire",347400,14048
0500000US34001,"Atlantic County, New Jersey",289200,10538
0500000US34003,"Bergen County, New Jersey",578600,8744
0500000US34005,"Burlington County, New Jersey",329300,7880
0500000US34007,"Camden County, New Jersey",271300,6719
0500000US34009,"Cape May County, New Jersey",449000,24229
0500000US34011,"Cumberland County, New Jersey",202300,11916
0500000US34013,"Essex County, New Jersey",494100,14394
0500000US34015,"Gloucester County, New Jersey",290300,7707
0500000US34017,"Hudson County, New Jersey",526200,21387
0500000US34019,"Hunterdon County, New Jersey",480200,16323
0500000US34021,"Mercer County, New Jersey",345800,16097
0500000US34023,"Middlesex County, New Jersey",440000,7270
0500000US34025,"Monmouth County, New Jersey",576800,11490
0500000US34027,"Morris County, New Jersey",546600,14608
0500000US34029,"Ocean County, New Jersey",379400,7708
0500000US34031,"Passaic County, New Jersey",434600,10721
0500000US34033,"Salem County, New Jersey",232700,13618
0500000US34035,"Somerset County, New Jersey",497200,14498
0500000US34037,"Sussex County, New Jersey",352100,8907
0500000US34039,"Union County, New Jersey",499700,16422
0500000US34041,"Warren County, New Jersey",350000,14189
0500000US35001,"Bernalillo County, New Mexico",287300,7244
0500000US35013,"Doña Ana County, New Mexico",211700,11437
0500000US35025,"Lea County, New Mexico",175600,23484
0500000US35031,"McKinley County, New Mexico",82300,10907
0500000US35035,"Otero County, New Mexico",161900,12151
0500000US35043,"Sandoval County, New Mexico",315500,16934
0500000US35045,"San Juan County, New Mexico",185000,14892
0500000US35049,"Santa Fe County, New Mexico",450700,14831
0500000US35061,"Valencia County, New Mexico",207400,21347
0500000US36001,"Albany County, New York",273400,7006
0500000US36005,"Bronx County, New York",489800,30492
0500000US36007,"Broome County, New York",146100,7081
0500000US36009,"Cattaraugus County, New York",108500,6608
0500000US36011,"Cayuga County, New York",165500,10060
